Year;S._araneus;S._caecutiens;S._isodon;S._minutus;S._roboratus;S._tundrensis;M._oeconomus;C._rufocanus;C._rutilus;M._agrestis;M._schisticolor;S._betulina;Community
1976;36,954;39,754;27,454;14,254;15,554;23,754;30,5540000000000;20,2540000000000;23,6540000000000;16,4540000000000;22,5540000000000;22,7540000000000;152,2540000000000
1977;36,154;59,054;26,454;13,354;13,754;21,954;13,4740000000000;16,5940000000000;13,4020000000000;23,8540000000000;14,3140000000000;13,3540000000000;130,0540000000000
1978;13,354;16,154;13,354;14,654;13,354;14,454;13,3540000000000;13,3540000000000;13,3540000000000;13,6340000000000;13,3540000000000;13,3540000000000;19,7140000000000
1979;22,354;20,354;14,854;19,954;17,154;19,854;13,6540000000000;14,1540000000000;16,6540000000000;13,6540000000000;13,6540000000000;17,2540000000000;58,8540000000000
1980;37,154;44,454;23,054;16,554;24,954;32,054;29,1940000000000;20,0640000000000;26,2240000000000;19,7340000000000;16,4340000000000;16,9840000000000;168,6540000000000
1981;51,354;53,154;19,654;15,554;18,354;28,654;27,3783902439024;23,4759512195122;21,6466829268293;16,4027804878049;15,5491219512195;15,7930243902439;164,1905853658537
1982;19,154;19,254;14,954;18,754;13,354;19,254;15,6540000000000;14,6540000000000;16,8540000000000;14,3540000000000;18,3540000000000;15,3540000000000;53,5540000000000
1983;28,654;23,054;17,754;16,954;14,754;15,854;15,4128235294118;14,5304705882353;18,3540000000000;13,3540000000000;13,8245882352941;15,5892941176471;61,4892941176471
1984;39,854;30,554;22,154;14,054;18,954;24,054;19,2915000000000;24,0571250000000;26,8696250000000;15,8540000000000;14,6821250000000;16,4790000000000;123,7633750000000
1985;70,254;42,754;28,954;14,654;13,654;28,054;21,3540000000000;23,6267272727273;17,8994545454545;14,7176363636364;19,2630909090909;16,3540000000000;166,3176363636363
1986;15,854;22,254;14,454;14,754;13,554;15,854;14,3540000000000;15,0540000000000;15,1540000000000;13,6540000000000;14,3540000000000;14,6540000000000;38,1540000000000
1987;24,454;35,054;14,754;18,954;15,554;24,754;14,2572258064516;14,7733548387097;16,5798064516129;13,5475483870968;13,5475483870968;16,0636774193548;77,6733548387097
1988;21,754;17,854;17,854;15,354;15,554;25,954;22,3540000000000;20,8540000000000;23,9540000000000;16,3540000000000;19,3540000000000;19,6540000000000;93,9540000000000
1989;43,954;47,754;28,654;16,554;18,654;36,854;34,2087008547009;26,5163931623932;21,7300683760684;18,1403247863248;31,8155384615385;20,1061367521368;201,3471623931624
1990;14,454;25,054;15,054;16,154;16,954;15,054;16,9540000000000;24,1540000000000;16,1540000000000;13,6540000000000;18,0540000000000;15,5540000000000;60,9540000000000
1991;31,654;26,654;16,154;14,154;15,254;19,154;14,4540000000000;14,1540000000000;25,0540000000000;13,3540000000000;13,6540000000000;21,6540000000000;79,3540000000000
1992;41,954;42,554;26,654;16,154;17,254;19,154;14,4540000000000;14,4540000000000;26,6540000000000;13,6540000000000;13,3540000000000;18,0540000000000;118,3540000000000
1993;38,154;34,154;22,754;13,654;15,554;18,354;18,7540000000000;14,3540000000000;19,3540000000000;14,3540000000000;13,5540000000000;22,3540000000000;98,6540000000000
1994;31,454;21,454;20,054;14,454;15,854;16,954;17,4540000000000;15,6540000000000;20,1540000000000;14,0540000000000;13,5540000000000;16,9540000000000;72,1540000000000
