Year;S._araneus;S._caecutiens;S._isodon;S._minutus;S._roboratus;S._tundrensis;M._oeconomus;C._rufocanus;C._rutilus;M._agrestis;M._schisticolor;S._betulina;Community
2008;78,3540000000000;44,6540000000000;20,0540000000000;15,4540000000000;16,2540000000000;15,8540000000000;22,1540000000000;13,3540000000000;39,1540000000000;15,4540000000000;15,4540000000000;20,8540000000000;170,5540000000000
2009;26,2540000000000;18,3540000000000;14,0540000000000;15,1540000000000;13,3540000000000;13,3540000000000;14,4540000000000;14,4540000000000;16,5540000000000;14,0540000000000;13,3540000000000;21,5540000000000;48,4540000000000
2010;37,7540000000000;29,2540000000000;17,1540000000000;16,4540000000000;15,2540000000000;13,9540000000000;15,5540000000000;18,6540000000000;21,1540000000000;13,9540000000000;14,2540000000000;19,6540000000000;88,6540000000000
2011;82,4540000000000;43,3540000000000;18,0540000000000;19,9540000000000;16,7540000000000;13,6540000000000;20,5540000000000;23,3540000000000;24,2540000000000;16,4540000000000;15,8540000000000;14,9540000000000;164,3540000000000
2012;31,1540000000000;20,2540000000000;14,9540000000000;17,4540000000000;18,9540000000000;13,3540000000000;22,1540000000000;17,1540000000000;24,9540000000000;14,2540000000000;14,9540000000000;15,5540000000000;79,5540000000000
2013;46,7540000000000;36,4540000000000;18,0540000000000;18,9540000000000;20,8540000000000;15,5540000000000;14,2540000000000;14,6540000000000;27,4540000000000;13,9540000000000;15,5540000000000;16,4540000000000;112,9540000000000
2014;13,6540000000000;19,1540000000000;14,3540000000000;30,1540000000000;23,9540000000000;14,6540000000000;14,3540000000000;13,3540000000000;19,4540000000000;17,5540000000000;13,3540000000000;18,5540000000000;66,5540000000000
2015;21,1540000000000;22,4540000000000;14,6540000000000;24,6540000000000;26,4540000000000;16,7540000000000;24,2540000000000;14,9540000000000;28,9540000000000;15,8540000000000;13,3540000000000;16,4540000000000;95,2540000000000
2016;69,8540000000000;114,9540000000000;36,6540000000000;26,5540000000000;39,5540000000000;21,5540000000000;46,4540000000000;19,3540000000000;34,4540000000000;17,1540000000000;13,9540000000000;14,9540000000000;311,9540000000001
2017;14,6040000000000;21,1665000000000;13,6665000000000;14,6040000000000;13,3540000000000;17,7290000000000;24,6040000000000;17,1040000000000;19,2915000000000;14,2915000000000;15,5415000000000;18,9790000000000;58,0415000000000
2018;17,7290000000000;39,9165000000000;18,0415000000000;20,2290000000000;17,7290000000000;28,0415000000000;13,3540000000000;13,3540000000000;18,6665000000000;13,3540000000000;14,2915000000000;17,1040000000000;86,4790000000000
2019;33,9790000000000;26,4790000000000;28,9790000000000;18,3540000000000;22,1040000000000;31,1665000000000;18,3540000000000;15,8540000000000;29,6040000000000;13,6665000000000;13,3540000000000;18,0415000000000;127,7290000000000
2020;92,1040000000000;35,2290000000000;78,0415000000000;18,3540000000000;17,4165000000000;32,1040000000000;54,9165000000000;16,4790000000000;28,9790000000000;18,3540000000000;17,7290000000000;13,9790000000000;282,1540000000000
2021;14,3675135135135;13,3540000000000;13,6918378378378;15,7188648648649;13,6918378378378;13,6918378378378;13,3540000000000;13,3540000000000;14,3675135135135;13,3540000000000;13,3540000000000;18,0837297297297;23,4891351351351
2022;25,0259242902208;14,3003722397476;14,9312870662461;31,3350725552050;14,6158296529968;15,2467444794953;13,6694574132492;13,6694574132492;18,0858611987382;13,3540000000000;13,3540000000000;15,5622018927445;58,1489526813880
2023;89,6360512820513;26,4950256410256;21,6873333333333;16,2386153846154;15,9181025641026;19,7642564102564;28,0975897435897;16,5591282051282;25,8540000000000;30,0206666666667;14,3155384615385;17,8411794871795;178,0975897435897
