Year;S._araneus;S._caecutiens;S._isodon;S._minutus;S._roboratus;S._tundrensis;M._oeconomus;C._rufocanus;C._rutilus;M._agrestis;M._schisticolor;S._betulina;Community
1976;47,7540000000000;36,6540000000000;16,8540000000000;14,2540000000000;13,3540000000000;14,2540000000000;17,6040000000000;23,2290000000000;21,2290000000000;14,6040000000000;13,4790000000000;18,6040000000000;106,8790000000000
1977;47,7540000000000;40,6540000000000;18,3540000000000;14,1540000000000;13,3540000000000;13,9540000000000;16,2940000000000;22,4540000000000;22,8740000000000;14,6140000000000;13,7740000000000;16,7140000000000;108,2540000000000
1978;13,8540000000000;14,1540000000000;13,3540000000000;14,1540000000000;13,3540000000000;13,3540000000000;13,3540000000000;13,3540000000000;13,3540000000000;13,3540000000000;13,5840000000000;13,3540000000000;16,0140000000000
1979;25,5540000000000;17,2540000000000;13,6540000000000;19,2540000000000;13,3540000000000;13,6540000000000;14,1873333330000;15,1397142860000;26,8063809500000;14,1873333330000;13,8301904760000;16,0920952380000;56,8920952350000
1980;58,5540000000000;40,8540000000000;17,7540000000000;18,0540000000000;13,3540000000000;17,3540000000000;17,7587619050000;29,6635238100000;22,6397142860000;22,5206666670000;14,4254285710000;17,1635238100000;144,4206666680000
1981;44,8994545454545;39,0812727272727;21,4449090909091;15,5358181818182;13,4449090909091;15,5358181818182;18,5358181818182;31,8994545454545;22,5358181818182;18,2630909090909;14,9903636363636;15,6267272727273;125,7540000000000
1982;19,8540000000000;15,0540000000000;13,6540000000000;14,5540000000000;13,3540000000000;13,6540000000000;13,8301904760000;14,4254285710000;14,0682857140000;13,4730476190000;13,8301904760000;14,1873333330000;27,3444761890000
1983;33,8540000000000;20,3540000000000;16,8540000000000;19,0540000000000;13,5540000000000;14,5540000000000;14,1873333330000;15,3778095240000;16,4492380950000;13,4730476190000;13,5920952380000;14,9016190480000;60,2111428570000
1984;39,0540000000000;30,0540000000000;17,1540000000000;14,0540000000000;13,5540000000000;14,3540000000000;18,7701915625000;27,2270520750000;29,2224910666667;17,0598152791667;14,9693553783333;14,7793135691667;104,3383025491667
1985;69,0540000000000;50,9540000000000;18,5540000000000;13,5540000000000;13,3540000000000;15,2540000000000;18,5290000000000;23,9915000000000;20,3498333336400;15,7498333336400;16,5165000000000;14,0248333336400;143,4706666672800
1986;17,1540000000000;18,9540000000000;13,4540000000000;13,8540000000000;13,3540000000000;13,4540000000000;14,1873333333333;15,7349523809524;14,3063809523810;13,5920952380952;14,1873333333333;14,5444761904762;29,9825714285714
1987;27,1540000000000;37,4540000000000;15,6540000000000;17,7540000000000;13,3540000000000;14,6540000000000;14,1623140880000;17,2800969980000;15,8944157040000;13,9313672060000;13,5849468820000;16,0098891450000;70,6085034640000
1988;31,6540000000000;23,1540000000000;16,3540000000000;14,7540000000000;13,3540000000000;14,6540000000000;22,1439543380000;29,7923561600000;22,7147305940000;17,6918995430000;17,1211232880000;17,6918995430000;95,1001187170000
1989;56,2540000000000;38,3540000000000;31,8540000000000;17,1540000000000;13,3540000000000;15,7540000000000;28,5687971333333;45,4741272833333;22,1049944333333;17,3317247416667;32,7454081166667;17,4311678600000;192,6856626866667
1990;18,4540000000000;19,8540000000000;14,3540000000000;14,3540000000000;13,3540000000000;13,5540000000000;15,9730476190000;59,1873333300000;16,5682857140000;13,7111428570000;19,3063809520000;16,5682857140000;88,9444761860000
1991;37,2540000000000;25,8540000000000;14,4540000000000;15,3540000000000;13,3540000000000;13,8540000000000;16,5682857140000;28,5920952400000;22,6397142860000;13,4730476190000;14,1873333330000;17,5206666670000;87,8063809540000
1992;49,7540000000000;41,0540000000000;24,0540000000000;15,1540000000000;13,3540000000000;14,1540000000000;16,6873333330000;20,0206666670000;44,4254285700000;13,4730476190000;13,3540000000000;16,9254285710000;135,5159047600000
1993;35,8540000000000;30,2540000000000;18,7540000000000;14,0540000000000;13,3540000000000;13,9540000000000;16,0812727270000;17,4449090910000;21,8767272730000;13,5812727270000;13,5812727270000;16,5358181820000;78,9312727270000
1994;27,6540000000000;21,3540000000000;14,3540000000000;14,4540000000000;13,3540000000000;13,4540000000000;14,0061739130000;14,2235652170000;16,7235652170000;13,4626956520000;13,5713913040000;15,0931304350000;45,1279130420000
