Year;S._araneus;S._caecutiens;S._isodon;S._minutus;S._roboratus;S._tundrensis;M._oeconomus;C._rufocanus;C._rutilus;M._agrestis;M._schisticolor;S._betulina;Community
2008;72,4540000000000;35,5540000000000;19,6540000000000;15,0540000000000;13,3540000000000;13,5540000000000;16,8540000000000;19,6540000000000;49,0540000000000;14,0540000000000;14,0540000000000;13,7540000000000;151,2540000000000
2009;37,1540000000000;19,9540000000000;15,3540000000000;14,4540000000000;13,3540000000000;13,3540000000000;14,2540000000000;14,6540000000000;15,1540000000000;13,3540000000000;13,3540000000000;14,4540000000000;53,3540000000000
2010;46,1540000000000;23,0540000000000;16,7540000000000;14,1540000000000;13,3540000000000;13,9540000000000;15,8540000000000;14,4540000000000;22,7540000000000;13,5540000000000;13,9540000000000;14,9540000000000;76,2540000000000
2011;70,8540000000000;31,6540000000000;14,4540000000000;16,0540000000000;13,3540000000000;13,6540000000000;17,4540000000000;16,1540000000000;34,9540000000000;14,2540000000000;14,6540000000000;13,5540000000000;124,6540000000000
2012;21,9540000000000;21,1540000000000;14,7540000000000;16,1540000000000;13,3540000000000;13,3540000000000;17,1540000000000;16,7540000000000;20,5540000000000;15,2540000000000;14,6540000000000;13,9540000000000;53,7540000000000
2013;65,2540000000000;36,6540000000000;25,8540000000000;17,8540000000000;13,3540000000000;13,8540000000000;14,7540000000000;15,0540000000000;22,7540000000000;14,4540000000000;15,3540000000000;14,6540000000000;126,1540000000000
2014;23,5540000000000;16,9540000000000;13,5540000000000;17,8540000000000;13,3540000000000;13,3540000000000;15,2540000000000;13,9540000000000;17,1540000000000;14,4540000000000;13,3540000000000;15,5540000000000;43,6540000000000
2015;44,1540000000000;18,6540000000000;14,1540000000000;26,3540000000000;13,3540000000000;13,9540000000000;26,1540000000000;15,5540000000000;33,8540000000000;15,2540000000000;14,6540000000000;14,9540000000000;110,2540000000000
2016;95,2540000000000;67,3540000000000;38,9540000000000;29,8540000000000;13,6540000000000;14,4540000000000;26,6540000000000;16,1540000000000;35,4540000000000;16,3540000000000;15,2540000000000;13,9540000000000;241,8540000000000
2017;15,6977500000000;26,4790000000000;14,4477500000000;15,3852500000000;13,5102500000000;14,4477500000000;24,6040000000000;14,2915000000000;16,6352500000000;14,4477500000000;13,9790000000000;14,7602500000000;52,7290000000000
2018;33,1977500000000;47,1040000000000;15,2290000000000;21,3227500000000;13,3540000000000;18,0415000000000;16,7915000000000;14,1352500000000;17,1040000000000;13,3540000000000;13,6665000000000;16,3227500000000;94,2915000000000
2019;52,4016190476191;18,7508253968254;17,0047936507936;18,7508253968254;13,5127301587302;23,9889206349206;26,6873333333333;16,3698730158730;27,1635238095238;14,3063809523810;13,3540000000000;17,4809841269841;117,6397142857143
2020;110,3934736842105;39,3408421052632;53,9790000000000;20,2618947368421;13,3540000000000;27,9921578947368;45,9197894736842;15,1632105263158;48,3868947368421;18,4526842105263;16,6434736842105;13,5184736842105;282,4540000000000
2021;14,3201835748792;13,9981223832528;13,8370917874396;17,7018260869565;13,3540000000000;13,5150305958132;13,8370917874396;13,3540000000000;14,8032753623188;13,5150305958132;13,5150305958132;16,8966731078905;26,8805700483092
2022;34,2400759493671;19,3666582278481;16,0438734177215;38,6704556962025;13,3540000000000;14,7780506329114;19,8413417721519;13,5122278481013;28,0691898734177;13,5122278481013;13,3540000000000;14,1451392405063;99,9046329113924
2023;80,3852500000000;40,0727500000000;23,5102500000000;13,6665000000000;13,3540000000000;13,9790000000000;27,5727500000000;14,1352500000000;39,9165000000000;13,9790000000000;17,1040000000000;14,2915000000000;171,6352500000000
